patent,code,date,year
US-9024589-B2,B60L11/126,2011-12-22,2011
US-9024589-B2,B60L11/1859,2011-12-22,2011
US-9024589-B2,B60L11/1862,2011-12-22,2011
US-9024589-B2,B60L3/0046,2011-12-22,2011
US-9024589-B2,B60L50/62,2011-12-22,2011
US-9024589-B2,B60L58/13,2011-12-22,2011
US-9024589-B2,B60L58/14,2011-12-22,2011
US-9024589-B2,B60L58/15,2011-12-22,2011
US-9024589-B2,H01M10/48,2011-12-22,2011
US-9024589-B2,H02J7/0029,2011-12-22,2011
US-9024589-B2,B60L2210/40,2011-12-22,2011
US-9024589-B2,B60L2240/545,2011-12-22,2011
US-9024589-B2,B60L2240/547,2011-12-22,2011
US-9024589-B2,B60L2240/549,2011-12-22,2011
US-9024589-B2,B60L2240/80,2011-12-22,2011
US-9024589-B2,H01M10/24,2011-12-22,2011
US-9024589-B2,H01M10/4242,2011-12-22,2011
US-9024589-B2,H02J2007/0037,2011-12-22,2011
US-9024589-B2,H02J2007/004,2011-12-22,2011
US-9024589-B2,H02J7/00302,2011-12-22,2011
US-9024589-B2,H02J7/00306,2011-12-22,2011
US-9024589-B2,Y02E60/10,2011-12-22,2011
US-9024589-B2,Y02T10/62,2011-12-22,2011
US-9024589-B2,Y02T10/6217,2011-12-22,2011
US-9024589-B2,Y02T10/70,2011-12-22,2011
US-9024589-B2,Y02T10/7005,2011-12-22,2011
US-9024589-B2,Y02T10/7044,2011-12-22,2011
US-9024589-B2,Y02T10/705,2011-12-22,2011
US-9024589-B2,Y02T10/7072,2011-12-22,2011
US-9024589-B2,Y02T10/7077,2011-12-22,2011
US-9024589-B2,Y02T10/72,2011-12-22,2011
US-9024589-B2,Y02T10/7241,2011-12-22,2011
US-2016049814-A1,H02J7/0063,2014-03-20,2014
US-2016049814-A1,H02J2007/0067,2014-03-20,2014
US-2011117448-A1,H01M4/133,2006-01-20,2006
US-2011117448-A1,H01M4/587,2006-01-20,2006
US-2011117448-A1,H01M10/0585,2006-01-20,2006
US-2011117448-A1,Y02E60/10,2006-01-20,2006
US-9520588-B2,H01M10/0587,2012-09-14,2012
US-9520588-B2,H01M4/70,2012-09-14,2012
US-9520588-B2,H01M50/538,2012-09-14,2012
US-9520588-B2,Y02E60/10,2012-09-14,2012
US-9520588-B2,Y02E60/122,2012-09-14,2012
US-9520588-B2,Y02P70/50,2012-09-14,2012
US-9281538-B2,H01M10/052,2011-11-29,2011
US-9281538-B2,H01M10/0565,2011-11-29,2011
US-9281538-B2,H01M10/0585,2011-11-29,2011
US-9281538-B2,H01M10/425,2011-11-29,2011
US-9281538-B2,H01M2220/30,2011-11-29,2011
US-9281538-B2,H01M4/382,2011-11-29,2011
US-9281538-B2,H01M4/405,2011-11-29,2011
US-9281538-B2,H01M4/661,2011-11-29,2011
US-9281538-B2,Y02E60/10,2011-11-29,2011
US-9281538-B2,Y02E60/122,2011-11-29,2011
US-9281538-B2,Y02P70/50,2011-11-29,2011
US-9281538-B2,Y02P70/54,2011-11-29,2011
US-9118080-B2,H01M10/14,2012-09-21,2012
US-9118080-B2,H01M4/14,2012-09-21,2012
US-9118080-B2,H01M4/20,2012-09-21,2012
US-9118080-B2,H01M4/624,2012-09-21,2012
US-9118080-B2,H01M10/12,2012-09-21,2012
US-9118080-B2,H01M4/56,2012-09-21,2012
US-9118080-B2,Y02E60/10,2012-09-21,2012
US-9118080-B2,Y02E60/126,2012-09-21,2012
US-9118080-B2,Y02P70/50,2012-09-21,2012
US-8815449-B2,H01M4/134,2006-01-20,2006
US-8815449-B2,H01M10/05,2006-01-20,2006
US-8815449-B2,H01M10/054,2006-01-20,2006
US-8815449-B2,H01M10/0568,2006-01-20,2006
US-8815449-B2,H01M10/0569,2006-01-20,2006
US-8815449-B2,H01M4/02,2006-01-20,2006
US-8815449-B2,H01M4/0404,2006-01-20,2006
US-8815449-B2,H01M4/0409,2006-01-20,2006
US-8815449-B2,H01M4/0426,2006-01-20,2006
US-8815449-B2,H01M4/131,2006-01-20,2006
US-8815449-B2,H01M4/1391,2006-01-20,2006
US-8815449-B2,H01M4/1395,2006-01-20,2006
US-8815449-B2,H01M4/505,2006-01-20,2006
US-8815449-B2,H01M4/70,2006-01-20,2006
US-8815449-B2,H01M4/621,2006-01-20,2006
