patent,code,date,year
US-9321362-B2,B60L53/11,2014-02-05,2014
US-9321362-B2,B60L53/16,2014-02-05,2014
US-9321362-B2,B60L53/18,2014-02-05,2014
US-9321362-B2,B60L53/302,2014-02-05,2014
US-9321362-B2,H02J7/0029,2014-02-05,2014
US-9321362-B2,B60Y2200/91,2014-02-05,2014
US-9321362-B2,B60Y2306/05,2014-02-05,2014
US-9321362-B2,H01B7/423,2014-02-05,2014
US-9321362-B2,H01R13/502,2014-02-05,2014
US-9321362-B2,H01R2103/00,2014-02-05,2014
US-9321362-B2,Y02T10/70,2014-02-05,2014
US-9321362-B2,Y02T10/7072,2014-02-05,2014
US-9321362-B2,Y02T90/12,2014-02-05,2014
US-9321362-B2,Y02T90/14,2014-02-05,2014
US-9536671-B2,H01B17/06,2014-12-01,2014
US-9536671-B2,H01G4/224,2014-12-01,2014
US-9536671-B2,H01G4/40,2014-12-01,2014
US-9536671-B2,H02B1/20,2014-12-01,2014
US-9536671-B2,H02B1/21,2014-12-01,2014
US-9536671-B2,H02G5/00,2014-12-01,2014
US-9536671-B2,H05K7/026,2014-12-01,2014
US-9536671-B2,H05K7/1432,2014-12-01,2014
US-9536671-B2,H02G5/005,2014-12-01,2014
US-2016009197-A1,B60L15/2036,2015-09-23,2015
US-2016009197-A1,B60W10/08,2015-09-23,2015
US-2016009197-A1,B60K1/02,2015-09-23,2015
US-2016009197-A1,B60K2001/001,2015-09-23,2015
US-2016009197-A1,B60L2240/24,2015-09-23,2015
US-2016009197-A1,B60L2240/423,2015-09-23,2015
US-2016009197-A1,B60L2240/486,2015-09-23,2015
US-2016009197-A1,B60W2510/087,2015-09-23,2015
US-2016009197-A1,B60W2520/28,2015-09-23,2015
US-2016009197-A1,B60W2540/10,2015-09-23,2015
US-2016009197-A1,B60W2540/12,2015-09-23,2015
US-2016009197-A1,B60W2540/16,2015-09-23,2015
US-2016009197-A1,B60W2540/18,2015-09-23,2015
US-2016009197-A1,B60W2710/083,2015-09-23,2015
US-2016009197-A1,Y02T10/64,2015-09-23,2015
US-2016009197-A1,Y02T10/72,2015-09-23,2015
US-8117857-B2,B60L3/0046,2009-02-20,2009
US-8117857-B2,B60L53/14,2009-02-20,2009
US-8117857-B2,B60L58/13,2009-02-20,2009
US-8117857-B2,B60L58/16,2009-02-20,2009
US-8117857-B2,B60L58/26,2009-02-20,2009
US-8117857-B2,B60L58/27,2009-02-20,2009
US-8117857-B2,H01M10/613,2009-02-20,2009
US-8117857-B2,H01M10/633,2009-02-20,2009
US-8117857-B2,H01M10/6568,2009-02-20,2009
US-8117857-B2,H01M10/663,2009-02-20,2009
US-8117857-B2,B60H2001/00307,2009-02-20,2009
US-8117857-B2,B60L2260/56,2009-02-20,2009
US-8117857-B2,H01M10/615,2009-02-20,2009
US-8117857-B2,H01M10/6571,2009-02-20,2009
US-8117857-B2,Y02E60/10,2009-02-20,2009
US-8117857-B2,Y02T10/70,2009-02-20,2009
US-8117857-B2,Y02T10/7072,2009-02-20,2009
US-8117857-B2,Y02T90/12,2009-02-20,2009
US-8117857-B2,Y02T90/14,2009-02-20,2009
US-8833839-B2,B60R16/04,2012-04-13,2012
US-8833839-B2,B62D21/157,2012-04-13,2012
US-8833839-B2,B62D25/025,2012-04-13,2012
US-8833839-B2,B62D25/2036,2012-04-13,2012
US-8833839-B2,B62D25/02,2012-04-13,2012
US-7755329-B2,B60L1/003,2009-11-05,2009
US-7755329-B2,B60L58/12,2009-11-05,2009
US-7755329-B2,H02J7/007194,2009-11-05,2009
US-7755329-B2,H02J7/0068,2009-11-05,2009
US-7755329-B2,Y02B40/00,2009-11-05,2009
US-7755329-B2,Y02E60/10,2009-11-05,2009
US-7755329-B2,Y02E60/13,2009-11-05,2009
US-7755329-B2,Y02T10/70,2009-11-05,2009
US-7755329-B2,Y10S320/11,2009-11-05,2009
US-9688164-B2,B60N2/01,2015-08-25,2015
US-9688164-B2,B60N2/0232,2015-08-25,2015
US-9688164-B2,B60N2/0292,2015-08-25,2015
US-9688164-B2,B60N2/065,2015-08-25,2015
US-9688164-B2,B60N2/067,2015-08-25,2015
US-9688164-B2,B60N2/0705,2015-08-25,2015
US-9688164-B2,B60N2/0715,2015-08-25,2015
US-9688164-B2,B60N2/1842,2015-08-25,2015
US-9688164-B2,B60N2/1853,2015-08-25,2015
US-9688164-B2,B60N2/68,2015-08-25,2015
US-7739005-B1,B60L15/20,2009-02-26,2009
US-7739005-B1,B60L15/2036,2009-02-26,2009
US-7739005-B1,B60L3/10,2009-02-26,2009
US-7739005-B1,B60L3/106,2009-02-26,2009
US-7739005-B1,B60L50/51,2009-02-26,2009
US-7739005-B1,B60T8/175,2009-02-26,2009
US-7739005-B1,B60T8/3205,2009-02-26,2009
US-7739005-B1,B60W30/02,2009-02-26,2009
US-7739005-B1,B60L2220/42,2009-02-26,2009
US-7739005-B1,B60L2240/12,2009-02-26,2009
US-7739005-B1,B60L2240/24,2009-02-26,2009
US-7739005-B1,B60L2240/421,2009-02-26,2009
US-7739005-B1,B60L2240/423,2009-02-26,2009
