patent,code,date,year
US-10763477-B2,B60L53/14,2017-01-16,2017
US-10763477-B2,B60L1/003,2017-01-16,2017
US-10763477-B2,B60L1/02,2017-01-16,2017
US-10763477-B2,B60L3/003,2017-01-16,2017
US-10763477-B2,B60L3/0061,2017-01-16,2017
US-10763477-B2,B60L50/51,2017-01-16,2017
US-10763477-B2,B60L53/65,2017-01-16,2017
US-10763477-B2,B60L58/12,2017-01-16,2017
US-10763477-B2,B60L58/16,2017-01-16,2017
US-10763477-B2,B60L58/20,2017-01-16,2017
US-10763477-B2,B60L58/21,2017-01-16,2017
US-10763477-B2,B60L58/24,2017-01-16,2017
US-10763477-B2,B60L58/26,2017-01-16,2017
US-10763477-B2,B60L58/27,2017-01-16,2017
US-10763477-B2,H01M10/0525,2017-01-16,2017
US-10763477-B2,H01M10/30,2017-01-16,2017
US-10763477-B2,H01M10/32,2017-01-16,2017
US-10763477-B2,H01M10/345,2017-01-16,2017
US-10763477-B2,H01M10/443,2017-01-16,2017
US-10763477-B2,H01M10/486,2017-01-16,2017
US-10763477-B2,H01M10/613,2017-01-16,2017
US-10763477-B2,H01M10/633,2017-01-16,2017
US-10763477-B2,H01M12/08,2017-01-16,2017
US-10763477-B2,H01M16/00,2017-01-16,2017
US-10763477-B2,H01M16/006,2017-01-16,2017
US-10763477-B2,H01M2/1077,2017-01-16,2017
US-10763477-B2,H01M2/1223,2017-01-16,2017
US-10763477-B2,H01M50/20,2017-01-16,2017
US-10763477-B2,H01M50/317,2017-01-16,2017
US-10763477-B2,H01M50/375,2017-01-16,2017
US-10763477-B2,H02J7/0029,2017-01-16,2017
US-10763477-B2,B60L2210/30,2017-01-16,2017
US-10763477-B2,B60L2240/12,2017-01-16,2017
US-10763477-B2,B60L2240/14,2017-01-16,2017
US-10763477-B2,B60L2240/36,2017-01-16,2017
US-10763477-B2,B60L2240/421,2017-01-16,2017
US-10763477-B2,B60L2240/545,2017-01-16,2017
US-10763477-B2,B60L2240/547,2017-01-16,2017
US-10763477-B2,B60L2240/662,2017-01-16,2017
US-10763477-B2,B60L2250/12,2017-01-16,2017
US-10763477-B2,B60L3/0046,2017-01-16,2017
US-10763477-B2,B60L50/64,2017-01-16,2017
US-10763477-B2,H01M10/6561,2017-01-16,2017
US-10763477-B2,H01M10/6567,2017-01-16,2017
US-10763477-B2,H01M12/06,2017-01-16,2017
US-10763477-B2,H01M2200/10,2017-01-16,2017
US-10763477-B2,H01M2200/20,2017-01-16,2017
US-10763477-B2,H01M2220/20,2017-01-16,2017
US-10763477-B2,H02J7/14,2017-01-16,2017
US-10763477-B2,Y02E60/10,2017-01-16,2017
US-10763477-B2,Y02E60/12,2017-01-16,2017
US-10763477-B2,Y02E60/50,2017-01-16,2017
US-10763477-B2,Y02T10/64,2017-01-16,2017
US-10763477-B2,Y02T10/642,2017-01-16,2017
US-10763477-B2,Y02T10/70,2017-01-16,2017
US-10763477-B2,Y02T10/7005,2017-01-16,2017
US-10763477-B2,Y02T10/7011,2017-01-16,2017
US-10763477-B2,Y02T10/7044,2017-01-16,2017
US-10763477-B2,Y02T10/7061,2017-01-16,2017
US-10763477-B2,Y02T10/7066,2017-01-16,2017
US-10763477-B2,Y02T10/7072,2017-01-16,2017
US-10763477-B2,Y02T10/72,2017-01-16,2017
US-10763477-B2,Y02T10/7241,2017-01-16,2017
US-10763477-B2,Y02T10/7258,2017-01-16,2017
US-10763477-B2,Y02T10/7291,2017-01-16,2017
US-10763477-B2,Y02T90/12,2017-01-16,2017
US-10763477-B2,Y02T90/121,2017-01-16,2017
US-10763477-B2,Y02T90/127,2017-01-16,2017
US-10763477-B2,Y02T90/128,2017-01-16,2017
US-10763477-B2,Y02T90/14,2017-01-16,2017
US-10763477-B2,Y02T90/16,2017-01-16,2017
US-10763477-B2,Y02T90/163,2017-01-16,2017
US-10763477-B2,Y02T90/167,2017-01-16,2017
US-10763477-B2,Y02T90/169,2017-01-16,2017
US-10763477-B2,Y04S30/14,2017-01-16,2017
US-10131248-B2,B60L15/2036,2016-12-20,2016
US-10131248-B2,B60W10/08,2016-12-20,2016
US-10131248-B2,B60K1/02,2016-12-20,2016
US-10131248-B2,B60K2001/001,2016-12-20,2016
US-10131248-B2,B60L2240/24,2016-12-20,2016
US-10131248-B2,B60L2240/423,2016-12-20,2016
US-10131248-B2,B60L2240/486,2016-12-20,2016
US-10131248-B2,B60W2510/087,2016-12-20,2016
US-10131248-B2,B60W2520/28,2016-12-20,2016
US-10131248-B2,B60W2540/10,2016-12-20,2016
US-10131248-B2,B60W2540/12,2016-12-20,2016
US-10131248-B2,B60W2540/16,2016-12-20,2016
US-10131248-B2,B60W2540/18,2016-12-20,2016
US-10131248-B2,B60W2710/083,2016-12-20,2016
US-10131248-B2,Y02T10/64,2016-12-20,2016
US-10131248-B2,Y02T10/642,2016-12-20,2016
US-10131248-B2,Y02T10/645,2016-12-20,2016
US-10131248-B2,Y02T10/646,2016-12-20,2016
US-10131248-B2,Y02T10/72,2016-12-20,2016
US-10131248-B2,Y02T10/7275,2016-12-20,2016
US-10534028-B2,G01R31/025,2016-11-22,2016
US-10534028-B2,G01R31/3648,2016-11-22,2016
US-10534028-B2,G01R31/382,2016-11-22,2016
US-10534028-B2,G01R31/396,2016-11-22,2016
US-10534028-B2,G01R31/52,2016-11-22,2016
US-10534028-B2,H01M10/482,2016-11-22,2016
US-10534028-B2,H02J7/0013,2016-11-22,2016
US-10534028-B2,H02J7/0022,2016-11-22,2016
US-10534028-B2,H02J7/0025,2016-11-22,2016
US-10534028-B2,H02J7/0026,2016-11-22,2016
US-10534028-B2,H02J7/0029,2016-11-22,2016
US-10534028-B2,H01M2220/20,2016-11-22,2016
US-10534028-B2,H02J7/0016,2016-11-22,2016
US-10534028-B2,H02J7/00302,2016-11-22,2016
US-10534028-B2,Y02E60/10,2016-11-22,2016
US-10534028-B2,Y02E60/122,2016-11-22,2016
US-10534028-B2,Y02T10/70,2016-11-22,2016
US-10534028-B2,Y02T10/7011,2016-11-22,2016
US-10534028-B2,Y02T10/7055,2016-11-22,2016
US-9701210-B2,B60L53/11,2016-03-21,2016
